Samsung EB-BA217ABY Battery 5000mAh|Samsung A12, Samsung A21S
Samsung EB-BG988ABU Battery 5000mAh|Samsung S20 Ultra, Samsung S20 Ultra 5G
Samsung EB-BA905ABU Battery 3700mAh|Samsung A80, Samsung A90, Samsung A33 5G, Samsung A53 5G
Samsung EB-BA546ABY Battery 5000mAh|Samsung A25 5G, Samsung A34 5G, Samsung A54 5G
Samsung HQ-7160SS Battery 5000mAh|Samsung A06
Samsung EB-BA415ABY Battery 3500mAh|Samsung A41
Samsung EB-BA146ABY Battery 5000mAh|Samsung A14, Samsung A14 5G
Samsung EB-BM415ABY Battery 6800mAh|Samsung F62, Samsung M62, Samsung M51
Samsung EB-BM146ABY Battery 6000mAh|Samsung F54 5G, Samsung M54 5G
Samsung EB-BT725ABU Battery 7040mAh|Samsung Tab S6 5G, Samsung Tab S6, Samsung Tab S6 Lite, Samsung Tab S5e
Samsung EB-J500CBE Battery 2600mAh|Samsung J5, Samsung J3 Pro, Samsung J3 2016, Samsung J2 2018, Samsung J2 Prime, Samsung J2 Pro 2016, Samsung J2 2016
Samsung HQ-50S Battery 5000mAh|Samsung A02S, Samsung F02S, Samsung A03, Samsung M02S, Samsung A03S, Samsung A04E, Samsung A22 5G, Samsung A03 Core, Samsung A04, Samsung A14 4G
Samsung EB-BA426ABY Battery 5000mAh|Samsung M32 5G, Samsung A32, Samsung A32 5G, Samsung A42 5G, Samsung A72, Samsung M22
Samsung EB-BG610ABE Battery 3300mAh|Samsung J7 Prime, Samsung J7 Max, Samsung J4 Plus, Samsung J6 Plus, Samsung On7, Samsung On Nxt
Samsung EB-BG781ABY Battery 4500mAh|Samsung S20 FE, Samsung S20 FE 5G, Samsung A52, Samsung A52 5G, Samsung A52s 5G
Samsung EB-BM217ABY / EB-BA156ABY Battery 5000mAh|Samsung A12, Samsung A02, Samsung M02, Samsung A15, Samsung A21S, Samsung A04S
Samsung EB-BM207ABY Battery 6000mAh|Samsung F41, Samsung M21, Samsung M21s, Samsung M30s, Samsung M31, Samsung F12, Samsung M20s
Samsung EB-BM526ABS Battery 5000mAh|Samsung A23, Samsung A23 5G, Samsung A73 5G, Samsung M52 5G
Samsung EB-BG580ABU Battery 5000mAh|Samsung A40s, Samsung M20, Samsung M30
Samsung EB-BA520ABE Battery 3000mAh|Samsung A5 2017, Samsung A3 2017, Samsung J5 2017
Samsung EB-BA202ABE Battery 3000mAh|Samsung A20e, Samsung A10e
Samsung EB-BA136ABY Battery 5000mAh|Samsung M13 5G, Samsung A13 5G, Samsung A33 5G
Samsung EB-BA505ABU Battery 4000mAh|Samsung A20, Samsung A30, Samsung A30S, Samsung A50, Samsung A50S
Samsung EB-BA705ABU Battery 4500mAh|Samsung A70, Samsung A70s
Samsung EB-BA750ABN Battery 3300mAh|Samsung M10, Samsung A10, Samsung A7 2018
Samsung SCUD-WT-N6 Battery 4000mAh|Samsung A01 Core, Samsung M01, Samsung M01s, Samsung A10s, Samsung A20s, Samsung A21
Samsung HQ-S71 Battery 5000mAh|Samsung M11
Samsung HQ-61N Battery 4000mAh|Samsung M01
Samsung EB-BA315ABY Battery 5000mAh|Samsung A31, Samsung A32 4G, Samsung A22, Samsung A31s, Samsung F22
Samsung MH30140 Battery|Samsung M01, Samsung M01s, Samsung A10s
Samsung WT-S-W1 Battery 5000mAh|Samsung A04e, Samsung M04
Samsung EB-BM526ABY Battery 5000mAh|Samsung A13
